Zeit;Hoehe;Winkelgeschwindigkeit
t;h;omega
[s];[m];[rad/s]
0.000000000000000000e+00;1.494283314160638421e+00;-1.322106892883586141e-02
2.000000000000000042e-02;-3.200296911180439130e-01;2.471815770485549530e-03
4.000000000000000083e-02;5.191440689144849463e-02;8.609456811886946484e-04
5.999999999999999778e-02;6.226046573151221564e-01;-2.160598913112224840e-03
8.000000000000000167e-02;1.593005277716090351e+00;5.313694126000823373e-03
1.000000000000000056e-01;-6.926551908075317954e-01;-2.216503413510938908e-02
1.199999999999999956e-01;1.244447661890992318e+00;1.280086058655523912e-02
1.400000000000000133e-01;2.017303577989317809e+00;1.391675326195957602e-02
1.600000000000000033e-01;1.685126718625486131e+00;1.029381727095923186e-03
1.799999999999999933e-01;1.912413368017304327e+00;-1.605021376008268453e-03
2.000000000000000111e-01;1.453486567254824946e+00;-5.700798235117795869e-03
2.200000000000000011e-01;2.362249838834932447e+00;8.373926148121725241e-03
2.399999999999999911e-01;1.451212471863194686e+00;-3.544536365746630505e-03
2.600000000000000089e-01;2.956441716849695922e+00;-7.401561628230238742e-03
2.800000000000000266e-01;1.234040703055585553e+00;2.386661563271703576e-03
2.999999999999999889e-01;2.628815231250503093e+00;1.415744360625489223e-02
3.200000000000000067e-01;2.089531692585598233e+00;7.600526458860932567e-03
3.400000000000000244e-01;3.741891388066355351e+00;-4.929108275904840394e-03
3.599999999999999867e-01;3.872513884210284640e+00;1.199694913907098067e-03
3.800000000000000044e-01;3.320137086641090196e+00;9.036044021445888488e-03
4.000000000000000222e-01;2.975331239436878050e+00;8.059674353282472031e-03
4.199999999999999845e-01;2.021306512570260061e+00;-8.514347014174968725e-03
4.400000000000000022e-01;5.252733726424875016e+00;-5.762495900649656708e-03
4.600000000000000200e-01;3.545595692999161219e+00;-2.825795729418759217e-05
4.799999999999999822e-01;4.130039261374740533e+00;1.761213130861851925e-02
5.000000000000000000e-01;6.212997128742258290e+00;-2.648440528978900348e-03
5.200000000000000178e-01;4.166852690031522144e+00;4.655536357220611647e-03
5.400000000000000355e-01;3.660763607051485735e+00;-2.837966896491429629e-03
5.600000000000000533e-01;4.263806740253020422e+00;-1.632465719483910602e-02
5.799999999999999600e-01;5.011316414705864197e+00;-1.160795649048224597e-02
5.999999999999999778e-01;3.051000952810127398e+00;-8.137401687825398036e-03
