# time [s]	phi_1 [rad]	phi_2 [rad]
0.000000000000000000e+00	-5.756292117512707557e-02	1.213225223165503408e+00
4.000000000000000083e-02	-5.443513507853815075e-02	1.210480026595838643e+00
8.000000000000000167e-02	-5.130358459615257799e-02	1.207710079541858272e+00
1.199999999999999956e-01	-4.816823776465464779e-02	1.204915282759107642e+00
1.600000000000000033e-01	-4.502906160756071224e-02	1.202095534759416884e+00
2.000000000000000111e-01	-4.188602211365880651e-02	1.199250731741265508e+00
2.399999999999999911e-01	-3.873908422011539121e-02	1.196380767534734879e+00
2.800000000000000266e-01	-3.558821179504940285e-02	1.193485533544865751e+00
3.200000000000000067e-01	-3.243336761955721570e-02	1.190564918693366669e+00
3.599999999999999867e-01	-2.927451336977977825e-02	1.187618809361398187e+00
4.000000000000000222e-01	-2.611160959497965325e-02	1.184647089315388424e+00
4.400000000000000022e-01	-2.294461570253282512e-02	1.181649639664101858e+00
4.799999999999999822e-01	-1.977348993398963042e-02	1.178626338778273608e+00
5.200000000000000178e-01	-1.659818934477731017e-02	1.175577062226206504e+00
5.600000000000000533e-01	-1.341866978268681405e-02	1.172501682704646830e+00
5.999999999999999778e-01	-1.023488586538659831e-02	1.169400069967688749e+00
6.400000000000000133e-01	-7.046790957152068366e-03	1.166272090752486612e+00
6.800000000000000488e-01	-3.854337144836657639e-03	1.163117608702980199e+00
7.199999999999999734e-01	-6.574752130683167092e-04	1.159936484291197001e+00
7.600000000000000089e-01	2.543845381396266873e-03	1.156728574736168191e+00
8.000000000000000444e-01	5.749676534092249165e-03	1.153493733928765863e+00
8.399999999999999689e-01	8.960071530926545791e-03	1.150231812302487500e+00
8.800000000000000044e-01	1.217508505534859592e-02	1.146942656829712526e+00
9.200000000000000400e-01	1.539477323895990617e-02	1.143626110844039534e+00
9.599999999999999645e-01	1.861919368132508232e-02	1.140282013987820475e+00
1.000000000000000000e+00	2.184840548360311024e-02	1.136910202105205991e+00
1.040000000000000036e+00	2.508246928116514632e-02	1.133510507140450319e+00
1.080000000000000071e+00	2.832144727737477899e-02	1.130082757032781826e+00
1.120000000000000107e+00	3.156540328230503928e-02	1.126626775599923747e+00
1.159999999999999920e+00	3.481440273028209992e-02	1.123142382464914935e+00
1.199999999999999956e+00	3.806851274734061874e-02	1.119629392870216344e+00
1.239999999999999991e+00	4.132780219236749375e-02	1.116087617585747704e+00
1.280000000000000027e+00	4.459234163551091534e-02	1.112516862849548094e+00
1.320000000000000062e+00	4.786220347805419245e-02	1.108916930139037582e+00
1.360000000000000098e+00	5.113746195479849932e-02	1.105287616091792824e+00
1.399999999999999911e+00	5.441819318750628492e-02	1.101628712355807060e+00
1.439999999999999947e+00	5.770447523179613597e-02	1.097940005445724010e+00
1.479999999999999982e+00	6.099638812515737613e-02	1.094221276595167325e+00
1.520000000000000018e+00	6.429401393992202618e-02	1.090472301597231741e+00
1.560000000000000053e+00	6.759743683267466219e-02	1.086692850650439635e+00
1.600000000000000089e+00	7.090674310075414932e-02	1.082882688188400389e+00
1.639999999999999902e+00	7.422202123862449430e-02	1.079041572707744034e+00
1.679999999999999938e+00	7.754336199693462328e-02	1.075169256588523137e+00
1.719999999999999973e+00	8.087085844395713874e-02	1.071265485907605841e+00
1.760000000000000009e+00	8.420460602951881923e-02	1.067330000244728350e+00
